,original,prompt,feedback
0,"---
- name: check
  become: true
  hosts: all
  tasks:
  - name: ""Run ZFS check""
    ansible.builtin.shell: |
      set -o pipefail
      lsmod | grep '^zfs'
    args:
      executable: /usr/bin/bash
    tags:
    - skip_ansible_lint
",Generate an Ansible playbook that checks if the ZFS kernel module is loaded on all hosts.,"
ERROR: While processing Ansible code, encountered
Multiple modules specified: ansible.builtin.shell and args
"
1,"---
- name: Converge
  hosts: all
  roles:
    - role: ""{{ lookup('env', 'MOLECULE_PROJECT_DIRECTORY') | basename }}""
      vars:
        sonar_version: ""4.6.2.2472""
",Generate an Ansible playbook that deploys a specific version of SonarQube to all designated hosts using a specified role.,The generated code is not an Ansible playbook.
2,"---
- name: Prepare
  hosts: molecule_hosts_centos
  gather_facts: false
  become: true
  tasks:
    - name: Setup python
      raw: ""yum install -y {{ ansible_python_interpreter | basename }}""
      when: true
      args:
        warn: false

    - name: Update system
      command: yum update -y
      when: true
      args:
        warn: false

    - name: Reboot machine
      reboot:
  vars:
    ansible_python_interpreter: >-
      {{ (inventory_hostname in groups.molecule_hosts_centos_7)
         | ternary(""/usr/bin/python"", ""/usr/bin/python3"") }}
","Generate an Ansible playbook that prepares a CentOS environment by installing the appropriate Python interpreter, updating the system, and rebooting the machine.","
ERROR: While processing Ansible code, encountered
unrecognized field 'gather_facts' in play
"
3,"---
- name: Threshold test
  hosts: ism
  connection: local
  gather_facts: false
  vars:
    ism:
      host: ""{{ ansible_ssh_host }}""
      username: ""{{ username }}""
      password: ""{{ password }}""

  tasks:
    - name: ""Set threshold information""
      inspur.sm.edit_threshold:
        name: ""GPU1_Temp""
        uc: 94
        provider: ""{{ ism }}""
",Generate an Ansible playbook that sets temperature thresholds for GPU monitoring on a specified host.,"
ERROR: While processing Ansible code, encountered
unrecognized field 'connection' in play
"
4,"---
- hosts: localhost
  connection: local
  roles:
    - role: ansible-role-consul-tls
      consul_tls_out_dir: /tmp/consul_tls
      consul_datacenter: dc2
",Generate an Ansible playbook that sets up Consul with TLS configuration in a specified output directory and datacenter.,The generated code is not an Ansible playbook.
5,"---
- name: Converge
  hosts: all
  gather_facts: false
  collections:
    - ibm.isam
  tasks:
    - name: ""Test update using configure_access_control_attributes roles""
      include_role:
        name: ""configure_access_control_attributes""
      vars:
        access_control_attributes:
          - category: ""{{ category }}""
            datatype: ""{{ datatype }}""
            description: ""{{ update_description }}""
            issuer: ""{{ issuer }}""
            matcher: ""{{ matcher }}""
            name: ""{{ name }}""
            predefined: ""{{ predefined }}""
            storageDomain: ""{{ storageDomain }}""
            type: ""{{ type }}""
            attributeURI: ""{{ attributeURI }}""
      register: ret_obj
",Generate an Ansible playbook that configures access control attributes in an IBM ISAM environment.,"
ERROR: While processing Ansible code, encountered
unrecognized field 'gather_facts' in play
"
6,"---
- hosts: example
  become: true
  become_method: sudo
  environment:
    http_proxy: ""{{ http_proxy | default() }}""
    https_proxy: ""{{ https_proxy | default() }}""
    no_proxy: ""{{ no_proxy | default() }}""

  pre_tasks:
  roles:
    - opensmtpd
",Generate an Ansible playbook that sets up OpenSMTPD with proxy settings on a specified host using sudo privileges.,"
ERROR: While processing Ansible code, encountered
unrecognized field 'environment' in play
"
7,"---
- name: Monitor
  hosts: monitor
  become: true
  roles:
    # - vladgh.system.logs
    - cloudalchemy.node_exporter
",Generate an Ansible playbook that sets up monitoring on specified hosts using the Node Exporter.,The generated code is not an Ansible playbook.
8,"---
- hosts: all
  roles:
    - ../ansible-role-lemonldap/

  pre_tasks:
    - debug:
        msg: ""TODO: install sendmail server + traefik + ldap""

  post_tasks:
    - name: Stop lemonLDAP::NG
      become: true
      docker_compose:
        project_src: ""{{ install_dir }}""
        state: absent
","Generate an Ansible playbook that sets up a server with sendmail, Traefik, and LDAP, and manages the deployment of lemonLDAP using Docker.","
ERROR: While processing Ansible code, encountered
unrecognized field 'roles' in play
"
9,"---
- name: Configure all servers.
  hosts: all
  become: true

  roles:
    - mikev1963.pisetup
",Generate an Ansible playbook that configures all servers using the specified roles.,The generated code is not an Ansible playbook.
10,"---
- name: Prepare
  hosts: molecule_hosts
  gather_facts: false
  roles:
    - amtega.epel
",Generate an Ansible playbook that installs the EPEL repository on specified hosts.,The generated code is not an Ansible playbook.
